,Employer,salary_total_x,salary_total_y,change,y,Sector
0,Ontario Power Generation,1115975030.049996,1083794264.399998,2.969268864678254,0,Ontario Power Generation
1,City of Toronto - Police Service,579030472.4000013,568541146.9399999,1.8449544973933696,0,Municipalities and Services
2,University of Toronto,575118162.7499987,514251465.0100005,11.835979453906752,0,Universities
3,City of Toronto,530363501.7599979,521578527.6300005,1.684305174508527,0,Municipalities and Services
4,Toronto District School Board,323873770.2000008,345927752.030002,-6.375314411920452,0,School Boards
5,Attorney General,310492371.60000104,312381961.1000013,-0.6048971244518642,0,Government of Ontario - Ministries
6,City of Toronto - Toronto Transit Commission,268752147.94000006,250759478.73999995,7.175269820470409,0,Municipalities and Services
7,York University,257492955.76000008,238717125.39999986,7.865305150830304,0,Universities
8,University of Waterloo,204884725.87999964,192421808.13000017,6.476873838322694,0,Universities
9,University of Western Ontario,198457206.11999997,189411416.45000014,4.775736246282536,0,Universities
10,City of Ottawa,193952337.76000038,219426079.85000023,-11.609259075955658,0,Municipalities and Services
11,McMaster University,182203210.66000035,180093057.57999995,1.1717015127376884,0,Universities
12,Ryerson University,177550573.7100001,153987696.58999982,15.301792053385688,0,Universities
13,Peel District School Board,169807934.4199999,79794072.29000008,112.80770556847553,0,School Boards
14,Queen's University,156449288.0800005,151843751.70999992,3.033075986423528,0,Universities
15,Regional Municipality of Durham,152596150.33999997,127085771.07000016,20.073356013985567,0,Municipalities and Services
16,City of Hamilton,146131121.21000022,198030781.75000024,-26.207875402683435,0,Municipalities and Services
17,City of Ottawa - Police Services,145747784.56000012,119522681.61000001,21.941528249484943,0,Municipalities and Services
18,University of Guelph,125361725.08999996,120216379.34999983,4.280070459466989,0,Universities
19,University Health Network,123462626.67999995,112763233.98000005,9.488369854572953,0,Hospitals and Boards of Public Health
20,Ontario Court of Justice,121570614.11000091,120875952.04999961,0.5746900423286405,0,Government of Ontario - Judiciary
21,Toronto Catholic District School Board,118039808.8800003,86662210.88000005,36.20678226574252,0,School Boards
22,York Region District School Board,118018799.06999992,82882437.09,42.39301257737655,0,School Boards
23,Carleton University,114948316.79999997,105043735.98999998,9.429006610106573,0,Universities
24,City of Mississauga,114506269.68,135220056.93000004,-15.318576045802901,0,Municipalities and Services
25,Treasury Board Secretariat,114050507.00999992,100356092.89000016,13.645822316947044,0,Government of Ontario - Ministries
26,Regional Municipality of Halton,92934121.98000006,81896571.52999993,13.477426763777189,0,Municipalities and Services
27,Regional Municipality of York,89951189.28999999,82127395.09000003,9.52641221778212,0,Municipalities and Services
28,Brock University,89665482.05999999,85827229.61000007,4.472068441962973,0,Universities
29,Regional Municipality of Peel,87630475.32000004,72504743.11000004,20.86171409096933,0,Municipalities and Services
30,Workplace Safety and Insurance Board,84625291.97999999,74757305.57999997,13.200029513423273,0,Crown Agencies
31,Dufferin-Peel Catholic District School Board,84405554.48000006,95188393.85000028,-11.32789296454778,0,School Boards
32,The Hospital for Sick Children,84000314.2999999,90849851.91000009,-7.539404265386862,0,Hospitals and Boards of Public Health
33,University of Windsor,83283676.52999994,78733915.09999987,5.77865513765119,0,Universities
34,Wilfrid Laurier University,80431921.62999998,80284901.88999991,0.1831225255795932,0,Universities
35,Sunnybrook Health Sciences Centre,79446821.26000002,71942972.01000004,10.430274202401524,0,Hospitals and Boards of Public Health
36,Regional Municipality of Waterloo - Police,79206059.86000004,64286818.59000001,23.207309985504175,0,Municipalities and Services
37,Hamilton Health Sciences,76337497.01,65785678.31,16.039689748697228,0,Hospitals and Boards of Public Health
38,Ottawa Carleton District School Board,74972700.49999985,53411946.789999895,40.3669122841946,0,School Boards
39,Independent Electricity System Operator,72650785.69000012,70173621.84000002,3.5300498749347486,0,Other Public Sector Employers
40,Regional Municipality of Niagara - Niagara Reg. Police,72607224.93000005,72498275.97999996,0.15027798734159603,0,Municipalities and Services
41,Hamilton-Wentworth District School Board,69586549.34,35583467.04000003,95.55865442166298,0,School Boards
42,The Ottawa Hospital,67659155.03,67662817.87,-0.005413371945339751,0,Hospitals and Boards of Public Health
43,Transportation,63852399.65000008,60666444.720000006,5.25159327319169,0,Government of Ontario - Ministries
44,Trillium Health Partners,61315251.569999926,56495494.93000001,8.531222969144302,0,Hospitals and Boards of Public Health
45,Metrolinx,60762136.330000035,52130281.54000001,16.558235511114084,0,Crown Agencies
46,Laurentian University of Sudbury,59346207.83000002,54586815.70000005,8.718940771626604,0,Universities
47,William Osler Health System,58768329.27000002,51829476.35,13.387850714798933,0,Hospitals and Boards of Public Health
48,Durham District School Board,58574189.27000003,33506582.619999968,74.81397591122078,0,School Boards
49,Seneca College,58265492.97999996,54096053.34000009,7.707474727951857,0,Colleges
50,Halton District School Board,58227867.19999997,45045376.37,29.264914387038953,0,School Boards
51,St. Michael's Hospital,57822025.59000002,66763819.54000001,-13.393173146186932,0,Hospitals and Boards of Public Health
52,Ontario Lottery and Gaming Corporation,56252223.13,52617301.79000001,6.908224512361483,0,Crown Agencies
53,City of Brampton,55095392.269999966,51746154.459999956,6.472438087334553,0,Municipalities and Services
54,York Catholic District School Board,54989439.65999995,46132165.3,19.199780245303067,0,School Boards
55,Education,54278172.73000007,48266029.16999998,12.456263055791151,0,Government of Ontario - Ministries
56,Humber College,54134427.04999991,49728589.89999991,8.859766904430177,0,Colleges
57,Ontario Securities Commission,53209142.70000008,52470323.5,1.408070602042466,0,Crown Agencies
58,Simcoe County District School Board,52963592.85000001,44457793.65,19.13230167687372,0,School Boards
59,London Health Sciences Centre,52437117.60000007,71242760.29,-26.39656663140212,0,Hospitals and Boards of Public Health
60,City of Barrie,49991258.910000026,43359783.50000003,15.294069468773962,0,Municipalities and Services
61,Thames Valley District School Board,49504169.71000002,37990076.20000002,30.30816113498609,0,School Boards
62,Municipal Property Assessment Corporation,49327085.38000008,25045064.55999999,96.95331693726763,0,Other Public Sector Employers
63,George Brown College,46420569.320000045,41636897.90999997,11.489019715974514,0,Colleges
64,City of London,46163089.220000066,46294807.22999999,-0.2845200528550196,0,Municipalities and Services
65,Sinai Health System,46120375.130000025,45813914.72,0.6689243036160919,0,Hospitals and Boards of Public Health
66,Sheridan College Institute,46101404.58,40246673.75,14.547117275747535,0,Colleges
67,Greater Essex County District School Board,44641024.46999995,23927775.340000007,86.56571217205324,0,School Boards
68,City of Greater Sudbury,44262410.960000016,49539598.82000007,-10.652463858608296,0,Municipalities and Services
69,Lakehead University,43685476.17000004,40971050.46000002,6.625228495544944,0,Universities
70,City of Vaughan,43367185.73,44664167.120000064,-2.903852178672539,0,Municipalities and Services
71,Algonquin College,42395505.98999998,42051821.11999999,0.8172889088899238,0,Colleges
72,Liquor Control Board of Ontario,40516963.38,41719556.31999999,-2.882564068456972,0,Crown Agencies
73,Waterloo Region District School Board,39606351.08999998,42235692.22000002,-6.225400820481775,0,School Boards
74,eHealth Ontario,38982315.250000015,33665535.44999999,15.792945898325318,0,Crown Agencies
75,City of London - Police Services,38043657.46,30045805.23999999,26.618864617256023,0,Municipalities and Services
76,City of Thunder Bay,37889183.93,27567209.920000006,37.44294050777843,0,Municipalities and Services
77,Centennial College,37322623.16000002,33212009.780000053,12.376888382332506,0,Colleges
78,Mohawk College,36798919.86999999,32545957.78000002,13.067558554425096,0,Colleges
79,Upper Canada District School Board,36777190.18999999,20380387.979999993,80.45382760176483,0,School Boards
80,Legal Aid Ontario,36270973.3,25612364.19,41.615092737754765,0,Crown Agencies
81,Town of Oakville,36040548.039999984,30862575.149999987,16.777514075976253,0,Municipalities and Services
82,Conestoga College,35274115.93000003,32018529.27999998,10.167820706348362,0,Colleges
83,City of Markham,35059508.27,27471072.809999976,27.623367723876058,0,Municipalities and Services
84,St. Joseph's Healthcare Hamilton,34688250.930000015,39805710.07999998,-12.856093107534317,0,Hospitals and Boards of Public Health
85,Trent University,33119498.140000023,35253338.12,-6.052873554091609,0,Universities
86,Finance,32960807.41000001,27788933.819999993,18.61127031177341,0,Government of Ontario - Ministries
87,Regional Municipality of Waterloo,32520885.809999984,34328405.08999999,-5.265375059695221,0,Municipalities and Services
88,District School Board of Niagara,32052407.640000053,26062098.80999994,22.9847522015443,0,School Boards
89,Fanshawe College,31962108.68000001,27814288.620000005,14.912551302920951,0,Colleges
90,City of Kitchener,31478090.39,34617785.949999996,-9.069602442324864,0,Municipalities and Services
91,Ontario Infrastructure and Lands Corporation,31440383.800000004,29832455.310000002,5.3898630645430545,0,Crown Agencies
92,University of Ontario Institute of Technology,30768772.379999984,27366815.57999999,12.430955987755432,0,Universities
93,Grand Erie District School Board,30384169.45999999,18239138.890000004,66.58774102903924,0,School Boards
94,Lakeridge Health,29076840.949999996,25086494.329999994,15.906354102366937,0,Hospitals and Boards of Public Health
95,City of Windsor,29028489.89,74732998.52999997,-61.157065204138526,0,Municipalities and Services
96,Georgian College,28876985.039999966,22388818.90999999,28.97949264801114,0,Colleges
97,Southlake Regional Health Centre,28808163.450000007,25499999.34,12.97319292401209,0,Hospitals and Boards of Public Health
98,Humber River Hospital,28767999.020000022,25335222.309999995,13.54942407055606,0,Hospitals and Boards of Public Health
99,Windsor Regional Hospital,28262271.519999985,21695978.999999996,30.265020628937698,0,Hospitals and Boards of Public Health
100,The Scarborough Hospital,28065133.85,36909032.129999995,-23.961338917938168,0,Hospitals and Boards of Public Health
101,City of Sarnia,27927610.799999997,22265317.16000001,25.431003741426082,0,Municipalities and Services
102,Niagara College Canada,27419226.73999998,20581000.61000001,33.22591675488009,0,Colleges
103,Kingston General Hospital,27244618.480000004,30260507.36999999,-9.966418781827535,0,Hospitals and Boards of Public Health
104,Mackenzie Health,26534851.800000012,24805796.560000006,6.9703677356934834,0,Hospitals and Boards of Public Health
105,Kawartha Pine Ridge District School Board,26400777.580000002,21068336.669999994,25.310213110430645,0,School Boards
106,Halton Catholic District School Board,26392122.140000027,21498595.180000003,22.762077796378243,0,School Boards
