,Unnamed: 0,Unnamed: 0.1,Employer,salary_total_x,salary_total_y,change,y,Sector,salary_total_x_rounded
0,0,0,Ontario Power Generation,1115975030.0499961,1083794264.399998,2.9692688646782543,0,Ontario Power Generation,1116000000
1,1,1,City of Toronto - Police Service,579030472.4000013,568541146.9399999,1.8449544973933696,0,Municipalities and Services,579000000
2,2,2,University of Toronto,575118162.7499987,514251465.01000047,11.835979453906752,0,Universities,575100000
3,3,3,City of Toronto,530363501.7599978,521578527.6300005,1.684305174508527,0,Municipalities and Services,530400000
4,4,4,Toronto District School Board,323873770.2000008,345927752.030002,-6.375314411920452,0,School Boards,323900000
5,5,5,Attorney General,310492371.60000104,312381961.10000134,-0.6048971244518642,0,Government of Ontario - Ministries,310500000
6,6,6,City of Toronto - Toronto Transit Commission,268752147.94000006,250759478.73999995,7.175269820470409,0,Municipalities and Services,268800000
7,7,7,York University,257492955.76000008,238717125.39999983,7.865305150830302,0,Universities,257500000
8,8,8,University of Waterloo,204884725.87999964,192421808.13000017,6.476873838322692,0,Universities,204900000
9,9,9,University of Western Ontario,198457206.12,189411416.4500001,4.775736246282537,0,Universities,198500000
10,10,10,City of Ottawa,193952337.7600004,219426079.85000023,-11.609259075955658,0,Municipalities and Services,194000000
11,11,11,McMaster University,182203210.66000035,180093057.57999995,1.1717015127376884,0,Universities,182200000
12,12,12,Ryerson University,177550573.7100001,153987696.58999982,15.301792053385688,0,Universities,177600000
13,13,13,Peel District School Board,169807934.4199999,79794072.29000008,112.80770556847551,0,School Boards,169800000
14,14,14,Queen's University,156449288.0800005,151843751.70999992,3.0330759864235284,0,Universities,156400000
15,15,15,Regional Municipality of Durham,152596150.33999997,127085771.07000016,20.073356013985567,0,Municipalities and Services,152600000
16,16,16,City of Hamilton,146131121.21000022,198030781.75000024,-26.207875402683435,0,Municipalities and Services,146100000
17,17,17,City of Ottawa - Police Services,145747784.56000012,119522681.61,21.941528249484943,0,Municipalities and Services,145700000
18,18,18,University of Guelph,125361725.08999996,120216379.34999985,4.280070459466989,0,Universities,125400000
19,19,19,University Health Network,123462626.67999996,112763233.98000003,9.488369854572953,0,Hospitals and Boards of Public Health,123500000
20,20,20,Ontario Court of Justice,121570614.11000092,120875952.04999958,0.5746900423286405,0,Government of Ontario - Judiciary,121600000
21,21,21,Toronto Catholic District School Board,118039808.8800003,86662210.88000005,36.20678226574252,0,School Boards,118000000
22,22,22,York Region District School Board,118018799.06999992,82882437.09,42.393012577376545,0,School Boards,118000000
23,23,23,Carleton University,114948316.79999997,105043735.98999998,9.429006610106573,0,Universities,114900000
24,24,24,City of Mississauga,114506269.68,135220056.93000004,-15.318576045802901,0,Municipalities and Services,114500000
25,25,25,Treasury Board Secretariat,114050507.00999992,100356092.89000016,13.645822316947045,0,Government of Ontario - Ministries,114100000
26,26,26,Regional Municipality of Halton,92934121.98000006,81896571.52999993,13.477426763777187,0,Municipalities and Services,92900000
27,27,27,Regional Municipality of York,89951189.28999999,82127395.09000003,9.52641221778212,0,Municipalities and Services,90000000
28,28,28,Brock University,89665482.05999999,85827229.61000007,4.472068441962973,0,Universities,89700000
29,29,29,Regional Municipality of Peel,87630475.32000004,72504743.11000004,20.86171409096933,0,Municipalities and Services,87600000
30,30,30,Workplace Safety and Insurance Board,84625291.97999999,74757305.57999997,13.200029513423276,0,Crown Agencies,84600000
31,31,31,Dufferin-Peel Catholic District School Board,84405554.48000006,95188393.85000028,-11.327892964547779,0,School Boards,84400000
32,32,32,The Hospital for Sick Children,84000314.29999991,90849851.91000009,-7.539404265386863,0,Hospitals and Boards of Public Health,84000000
33,33,33,University of Windsor,83283676.52999994,78733915.09999987,5.778655137651191,0,Universities,83300000
34,34,34,Wilfrid Laurier University,80431921.62999998,80284901.88999991,0.1831225255795932,0,Universities,80400000
35,35,35,Sunnybrook Health Sciences Centre,79446821.26000002,71942972.01000004,10.430274202401524,0,Hospitals and Boards of Public Health,79400000
36,36,36,Regional Municipality of Waterloo - Police,79206059.86000004,64286818.59000001,23.207309985504175,0,Municipalities and Services,79200000
37,37,37,Hamilton Health Sciences,76337497.01,65785678.31,16.039689748697224,0,Hospitals and Boards of Public Health,76300000
38,38,38,Ottawa Carleton District School Board,74972700.49999985,53411946.789999895,40.366912284194605,0,School Boards,75000000
39,39,39,Independent Electricity System Operator,72650785.69000012,70173621.84000002,3.5300498749347486,0,Other Public Sector Employers,72700000
