sector,sector,job_title,job_title,job_title
Colleges,Colleges,Professor,Professor,3496
Colleges,Colleges,Professor/Coordinator,Professor/Coordinator,112
Colleges,Colleges,Professor/Professeur,Professor/Professeur,82
Colleges,Colleges,Counsellor,Counsellor,71
Colleges,Colleges,Associate Dean,Associate Dean,66
Colleges,Colleges,Professeur/Professor,Professeur/Professor,57
Colleges,Colleges,Chair,Chair,40
Colleges,Colleges,Professeure/Professor,Professeure/Professor,39
Colleges,Colleges,"Professor, School Of Environmental And Natural Resource Sciences","Professor, School Of Environmental And Natural Resource Sciences",29
Colleges,Colleges,"Professor, School Of Health and Wellness","Professor, School Of Health and Wellness",20
Colleges,Colleges,"Professor, School Of General Arts and Sciences","Professor, School Of General Arts and Sciences",18
Colleges,Colleges,Librarian,Librarian,18
Colleges,Colleges,President,President,18
Colleges,Colleges,Gestionnaire/Manager,Gestionnaire/Manager,14
Colleges,Colleges,"Professor, School Of Justice and Community Development","Professor, School Of Justice and Community Development",14
Colleges,Colleges,"Professor, School Of Trades and Technology","Professor, School Of Trades and Technology",14
Colleges,Colleges,Registrar,Registrar,13
Colleges,Colleges,Dean,Dean,12
Colleges,Colleges,Executive Director,Executive Director,12
Colleges,Colleges,Technologist,Technologist,12
Colleges,Colleges,"Professor, School Of Business","Professor, School Of Business",11
Colleges,Colleges,Chief Information Officer,Chief Information Officer,10
Colleges,Colleges,Directeur/Director,Directeur/Director,10
Colleges,Colleges,Director,Director,10
Colleges,Colleges,"Vice President, Academic","Vice President, Academic",9
Colleges,Colleges,"Professor, Business","Professor, Business",9
Colleges,Colleges,Enterprise Support Specialist,Enterprise Support Specialist,9
Colleges,Colleges,Human Resources Consultant,Human Resources Consultant,8
Colleges,Colleges,"Associate Director, Safety And Security","Associate Director, Safety And Security",8
Colleges,Colleges,"Manager, Learning Technologies","Manager, Learning Technologies",8
Colleges,Colleges,Database Administrator,Database Administrator,7
Colleges,Colleges,"Chair, Culinary Program Operations","Chair, Culinary Program Operations",7
Colleges,Colleges,Directrice/Director,Directrice/Director,6
Colleges,Colleges,"Director, Facilities Management","Director, Facilities Management",6
Colleges,Colleges,Senior Manager Of Counselling,Senior Manager Of Counselling,6
Colleges,Colleges,"Technologist, Fire Science Programs","Technologist, Fire Science Programs",6
Colleges,Colleges,"Professor, Nursing Program","Professor, Nursing Program",6
Colleges,Colleges,"Professor, Academic Upgrading","Professor, Academic Upgrading",6
Colleges,Colleges,"Professor, Justice Studies","Professor, Justice Studies",6
Colleges,Colleges,"Professor, Community Services","Professor, Community Services",6
Colleges,Colleges,Accessibility Consultant,Accessibility Consultant,6
Colleges,Colleges,"Professor, Bachelor Of Science In Nursing Program","Professor, Bachelor Of Science In Nursing Program",5
Colleges,Colleges,"Professor, Business and Office Administration","Professor, Business and Office Administration",5
Colleges,Colleges,"Professor, Nursing","Professor, Nursing",5
Colleges,Colleges,Vice President,Vice President,5
Colleges,Colleges,"Director, Student Services","Director, Student Services",5
Colleges,Colleges,"Director, Information Technology Services","Director, Information Technology Services",5
Colleges,Colleges,"Director, Academic Excellence","Director, Academic Excellence",5
Colleges,Colleges,"Professor, Skills","Professor, Skills",5
Colleges,Colleges,"Professor, Chemical Production and Power Engineering Technology","Professor, Chemical Production and Power Engineering Technology",5
Colleges,Colleges,"Manager, Student Rights And Responsibilities","Manager, Student Rights And Responsibilities",5
Colleges,Colleges,"Professor, New Media and Animation","Professor, New Media and Animation",5
Colleges,Colleges,"Vice President, Corporate Services","Vice President, Corporate Services",5
Colleges,Colleges,Campus Manager,Campus Manager,5
